name,value,uncertainty_up,uncertainty_down
B_An,0.0003213492181222367,0.024888369634870944,0.024888369634870944
B_Ar,0.0038168093961388964,0.022159978418742933,0.022159978418742933
B_Ak,0.002401950624865984,0.022552437686612626,0.022552437686612626
B_Bn,0.0035763163393830273,0.025300584418244697,0.025300584418244697
B_Br,-0.0027348770969148435,0.018809306050029492,0.018809306050029492
B_Bk,-0.0030215375514931636,0.02678139490017266,0.02678139490017266
C_nn,-0.5575673032235197,0.03262199966351087,0.03262199966351087
C_nr,-0.005250081378049393,0.03515726467894834,0.03515726467894834
C_nk,0.011450248029975194,0.0349860559066406,0.0349860559066406
C_rn,0.015306291241115566,0.03667480263981136,0.03667480263981136
C_rr,-0.3153849564108421,0.03405174362698693,0.03405174362698693
C_rk,-0.006581651620401251,0.03565652180127212,0.03565652180127212
C_kn,-0.009369651940472665,0.03368063938751354,0.03368063938751354
C_kr,0.012088289534038128,0.03591913883051209,0.03591913883051209
C_kk,-0.5988880600992365,0.038624934739343364,0.038624934739343364
Concurrence,0.32144987760970595,0.01991572127412139,0.020519689087318285
Ckk + Cnn,-0.25775819905033903,0.050557694228125526,0.050557694228125526
Ckk - Cnn,-1.3728928054973784,0.050557694228125526,0.050557694228125526
Ckk + Crr,-0.4999405458630166,0.0514918132100296,0.0514918132100296
Ckk - Crr,-1.1307104586847008,0.0514918132100296,0.0514918132100296
Cnn + Crr,-0.5412613027387334,0.047156294448187384,0.047156294448187384
Cnn - Crr,-1.1720312155604176,0.047156294448187384,0.047156294448187384
