name,value,uncertainty_up,uncertainty_down
B_An,0.0003213710027111935,0.007722740746951983,0.0077227407469519825
B_Ar,0.0038167772234834977,0.007287623392885509,0.007287623392885509
B_Ak,0.002401969173921454,0.007439751746746402,0.007439751746746401
B_Bn,0.003576292175313097,0.00744512241914628,0.007445122419146281
B_Br,-0.0027348604812817345,0.0074119368132214685,0.007411936813221468
B_Bk,-0.0030215451948465023,0.007426514762909932,0.007426514762909932
C_nn,-0.5575673069219189,0.01122694119842682,0.01122694119842682
C_nr,-0.005250080763012049,0.011740271204848633,0.011740271204848631
C_nk,0.011450249843640268,0.011821929936628187,0.011821929936628187
C_rn,0.015306288140033753,0.011307312066088409,0.011307312066088407
C_rr,-0.31538495079275103,0.012242180228603461,0.012242180228603461
C_rk,-0.006581661599201887,0.012438922311052491,0.012438922311052493
C_kn,-0.009369670702087376,0.01219051454240909,0.012190514542409091
C_kr,0.012088287471873103,0.012633922700834948,0.012633922700834946
C_kk,-0.598888074903889,0.012734425850990938,0.012734425850990938
Concurrence,0.3214498810880293,0.006923701715586861,0.006997676986654335
Ckk + Cnn,-0.2577581805472873,0.01697674322204703,0.01697674322204703
Ckk - Cnn,-1.372892794391125,0.01697674322204703,0.01697674322204703
Ckk + Crr,-0.4999405366764551,0.017664557127309924,0.017664557127309924
Ckk - Crr,-1.1307104382619573,0.017664557127309924,0.017664557127309924
Cnn + Crr,-0.5412613046584251,0.016610694910886268,0.016610694910886268
Cnn - Crr,-1.1720312062439273,0.016610694910886268,0.016610694910886268
