name,value,uncertainty_up,uncertainty_down
B_An,0.0003213739007515563,0.007318044616954591,0.007318044616954591
B_Ar,0.0038167794084070896,0.00749511242973921,0.0074951124297392095
B_Ak,0.002401967987018551,0.007108056848693627,0.007108056848693629
B_Bn,0.0035762944544206793,0.007484183045692429,0.007484183045692429
B_Br,-0.0027348626067958876,0.007243467187746419,0.007243467187746419
B_Bk,-0.0030215516725419236,0.007243972687736671,0.007243972687736671
C_nn,-0.5575673043027249,0.011263747560672499,0.011263747560672499
C_nr,-0.005250090007351562,0.011690348124490784,0.011690348124490782
C_nk,0.01145024500156412,0.01172344970247201,0.01172344970247201
C_rn,0.015306289501412247,0.011557266651663954,0.011557266651663954
C_rr,-0.3153849517224374,0.012339015288913346,0.012339015288913346
C_rk,-0.006581668029084469,0.012211904120663962,0.01221190412066396
C_kn,-0.009369677605964842,0.011956649083879565,0.011956649083879565
C_kr,0.012088291569969347,0.012044730980566663,0.012044730980566664
C_kk,-0.5988880722955714,0.012320424582358158,0.012320424582358158
Concurrence,0.3214498798543987,0.006868479113399034,0.006939303423487937
Ckk + Cnn,-0.2577581857747988,0.016693258249968184,0.016693258249968184
Ckk - Cnn,-1.3728927943802487,0.016693258249968184,0.016693258249968184
Ckk + Crr,-0.49994053835508634,0.017436862108464714,0.017436862108464714
Ckk - Crr,-1.1307104417999612,0.017436862108464714,0.017436862108464714
Cnn + Crr,-0.5412613063479328,0.016706983791534395,0.016706983791534395
Cnn - Crr,-1.1720312097928076,0.016706983791534395,0.016706983791534395
