name,value,uncertainty_up,uncertainty_down
B_An,0.00032135983604678373,0.028872969473054316,0.028872969473054316
B_Ar,0.0038168067470768043,0.02180937735260034,0.02180937735260034
B_Ak,0.002401965987428484,0.02410230825529051,0.02410230825529051
B_Bn,0.0035763030410900236,0.026705135812915982,0.026705135812915982
B_Br,-0.0027349113944290272,0.02040576931649307,0.02040576931649307
B_Bk,-0.003021533005936399,0.02371443645084218,0.02371443645084218
C_nn,-0.5575673437570239,0.03513597883828179,0.03513597883828179
C_nr,-0.005250119735010597,0.0411652286331735,0.0411652286331735
C_nk,0.011450233535679786,0.035210392904409846,0.03521039290440984
C_rn,0.015306279468856657,0.03435152320905105,0.03435152320905104
C_rr,-0.315384930754913,0.040475845367881236,0.040475845367881236
C_rk,-0.006581662517444657,0.038006288278740814,0.038006288278740814
C_kn,-0.009369668215254407,0.03878400750303763,0.03878400750303763
C_kr,0.012088309763301476,0.0320721303107006,0.0320721303107006
C_kk,-0.5988880594081507,0.040504563193169085,0.040504563193169085
Concurrence,0.3214498794681888,0.02195231943433984,0.022685236457894355
Ckk + Cnn,-0.25775815920792056,0.05362048720772326,0.05362048720772326
Ckk - Cnn,-1.3728928467219683,0.05362048720772326,0.05362048720772326
Ckk + Crr,-0.4999405722100314,0.05726179963740278,0.05726179963740278
Ckk - Crr,-1.1307104337198575,0.05726179963740278,0.05726179963740278
Cnn + Crr,-0.5412612878611582,0.05359879725487148,0.05359879725487148
Cnn - Crr,-1.1720311493709843,0.05359879725487148,0.05359879725487148
