name,value,uncertainty_up,uncertainty_down
B_An,0.0003213694769585478,0.025104520877628343,0.025104520877628343
B_Ar,0.0038168171490973804,0.023425478854028705,0.023425478854028705
B_Ak,0.0024019507016499126,0.023937187999910108,0.023937187999910108
B_Bn,0.0035762777319423055,0.028627891152585908,0.028627891152585905
B_Br,-0.0027348795995576665,0.018453115096117176,0.018453115096117176
B_Bk,-0.0030215169052374142,0.024252100324981797,0.024252100324981797
C_nn,-0.5575673001800582,0.03246842795957183,0.03246842795957183
C_nr,-0.0052500741896749845,0.03479896798453039,0.03479896798453039
C_nk,0.011450240968983042,0.038367530426435786,0.038367530426435786
C_rn,0.015306276956731332,0.035374760436899286,0.035374760436899286
C_rr,-0.3153849313632309,0.03459506216831709,0.03459506216831709
C_rk,-0.006581668209025125,0.033639120094998226,0.033639120094998226
C_kn,-0.009369655882628194,0.03693526851532126,0.03693526851532125
C_kr,0.012088302109709199,0.038458079446547055,0.038458079446547055
C_kk,-0.5988880696897293,0.03683704093745788,0.03683704093745788
Concurrence,0.32144986850229923,0.019669811252350344,0.020260672304132483
Ckk + Cnn,-0.25775819250330767,0.049103629185568896,0.049103629185568896
Ckk - Cnn,-1.372892792863424,0.049103629185568896,0.049103629185568896
Ckk + Crr,-0.49994056132013487,0.050534996897770475,0.050534996897770475
Ckk - Crr,-1.1307104240465968,0.050534996897770475,0.050534996897770475
Cnn + Crr,-0.541261330829806,0.047444885294366884,0.047444885294366884
Cnn - Crr,-1.172031193556268,0.047444885294366884,0.047444885294366884
