name,value,uncertainty_up,uncertainty_down
B_An,0.0003213773940664768,0.024582013529545886,0.024582013529545893
B_Ar,0.0038168157443978466,0.02026634892629348,0.02026634892629348
B_Ak,0.0024019713392561333,0.022963216427570547,0.022963216427570547
B_Bn,0.0035762809360349,0.0260882120726278,0.0260882120726278
B_Br,-0.0027348908021855413,0.02167876909687809,0.02167876909687809
B_Bk,-0.003021535701316933,0.02360360841769618,0.02360360841769618
C_nn,-0.5575673112999087,0.03319354008247588,0.03319354008247588
C_nr,-0.005250076527010507,0.03346113545362006,0.03346113545362006
C_nk,0.011450247974897078,0.03348563799277659,0.03348563799277659
C_rn,0.015306258106427155,0.03313761372088748,0.03313761372088748
C_rr,-0.31538496145038114,0.03519109792278091,0.03519109792278091
C_rk,-0.006581674066752141,0.03581391917828958,0.03581391917828958
C_kn,-0.009369668082856508,0.039305684693855855,0.039305684693855855
C_kr,0.01208829700205518,0.03582052765451818,0.03582052765451818
C_kk,-0.598888054809721,0.035364197161625976,0.035364197161625976
Concurrence,0.3214498813565942,0.01964975361099444,0.020219490392289468
Ckk + Cnn,-0.25775819626346563,0.04850193340572402,0.04850193340572402
Ckk - Cnn,-1.3728928188632827,0.04850193340572402,0.04850193340572402
Ckk + Crr,-0.4999405461129931,0.049890277749247994,0.049890277749247994
Ckk - Crr,-1.1307104690137553,0.049890277749247994,0.049890277749247994
Cnn + Crr,-0.5412612896228053,0.048375866671489076,0.048375866671489076
Cnn - Crr,-1.1720312125235677,0.048375866671489076,0.048375866671489076
