name,value,uncertainty_up,uncertainty_down
B_An,0.00032136738355537846,0.02676233336279523,0.02676233336279523
B_Ar,0.0038167796783075024,0.019092765965472203,0.019092765965472203
B_Ak,0.00240195806948298,0.02511464958781557,0.02511464958781557
B_Bn,0.0035763098016007378,0.027826988309905418,0.027826988309905414
B_Br,-0.0027349002691950276,0.019189946324057704,0.01918994632405771
B_Bk,-0.0030215298510466748,0.024789479017989245,0.024789479017989245
C_nn,-0.5575672989998472,0.03583383048128719,0.03583383048128719
C_nr,-0.005250106608883282,0.03693049026526412,0.03693049026526412
C_nk,0.011450247243406318,0.03738923891899815,0.03738923891899815
C_rn,0.015306259190904507,0.03789471504040785,0.037894715040407846
C_rr,-0.3153849485876223,0.03638644545140046,0.03638644545140046
C_rk,-0.006581673099288882,0.03770672106130597,0.03770672106130597
C_kn,-0.009369692715188425,0.045500216899810986,0.045500216899810986
C_kr,0.012088284285388572,0.037250765118663015,0.037250765118663015
C_kk,-0.5988880487825816,0.03936173559422185,0.03936173559422185
Concurrence,0.32144986909108836,0.02109330382452699,0.021823975547322905
Ckk + Cnn,-0.2577582145906663,0.053229781475702655,0.053229781475702655
Ckk - Cnn,-1.3728928125903608,0.053229781475702655,0.053229781475702655
Ckk + Crr,-0.4999405650028912,0.05360335476047346,0.05360335476047346
Ckk - Crr,-1.1307104621781359,0.05360335476047346,0.05360335476047346
Cnn + Crr,-0.5412613147856256,0.05106894182915256,0.05106894182915256
Cnn - Crr,-1.1720312119608702,0.05106894182915256,0.05106894182915256
