name,value,uncertainty_up,uncertainty_down
B_An,0.0003213744777856813,0.0075913806855362346,0.007591380685536234
B_Ar,0.0038167729820249817,0.007255897615197815,0.007255897615197815
B_Ak,0.002401965960781351,0.007160573397254937,0.007160573397254937
B_Bn,0.003576293577831174,0.00745467559229802,0.007454675592298019
B_Br,-0.0027348586178907574,0.00725138418138869,0.00725138418138869
B_Bk,-0.003021546619453773,0.0073210325970274,0.0073210325970274
C_nn,-0.557567302861244,0.011171890506911586,0.011171890506911586
C_nr,-0.005250077081214307,0.011382289140287794,0.011382289140287794
C_nk,0.011450252586435127,0.01138134552752514,0.01138134552752514
C_rn,0.015306295227086472,0.011286525476034898,0.011286525476034898
C_rr,-0.3153849442139615,0.011895734686323989,0.011895734686323989
C_rk,-0.006581667274661662,0.011959317021181354,0.011959317021181356
C_kn,-0.009369670601410031,0.011648983200159044,0.011648983200159042
C_kr,0.012088294303541351,0.01186419536568524,0.011864195365685238
C_kk,-0.5988880718881446,0.01220284759925383,0.01220284759925383
Concurrence,0.3214498757960942,0.006741937232671106,0.006809496944682292
Ckk + Cnn,-0.2577581876237065,0.016544504435885538,0.016544504435885538
Ckk - Cnn,-1.3728927933461945,0.016544504435885538,0.016544504435885538
Ckk + Crr,-0.49994054627098894,0.01704165465141301,0.01704165465141301
Ckk - Crr,-1.130710434698912,0.01704165465141301,0.01704165465141301
Cnn + Crr,-0.5412613152978896,0.01631930271873872,0.01631930271873872
Cnn - Crr,-1.1720312037258127,0.01631930271873872,0.01631930271873872
