name,value,uncertainty_up,uncertainty_down
B_An,0.0003213708330754635,0.027110461494288165,0.027110461494288165
B_Ar,0.003816778632453957,0.020488888943767092,0.020488888943767092
B_Ak,0.002401947297541089,0.021566889207431855,0.021566889207431855
B_Bn,0.003576330770634647,0.026927319432800995,0.026927319432800995
B_Br,-0.0027348934352531933,0.021175177573455606,0.021175177573455606
B_Bk,-0.0030215086059659957,0.023887609447040704,0.023887609447040704
C_nn,-0.5575673023290546,0.034700842404412846,0.034700842404412846
C_nr,-0.0052500976457918475,0.03420890013654751,0.03420890013654751
C_nk,0.011450259760047635,0.03640337576910335,0.03640337576910335
C_rn,0.015306260014036208,0.03577139496249633,0.03577139496249633
C_rr,-0.3153849483035031,0.03852559069525763,0.03852559069525763
C_rk,-0.00658167694973776,0.03835528320958113,0.03835528320958113
C_kn,-0.009369687539108119,0.03611113705399319,0.03611113705399319
C_kr,0.012088314019861013,0.03853930672407918,0.03853930672407918
C_kk,-0.5988880747600407,0.040717755970554825,0.040717755970554825
Concurrence,0.32144987858720414,0.021520272892587393,0.022160173738826453
Ckk + Cnn,-0.25775818528399985,0.05349844964906506,0.05349844964906506
Ckk - Cnn,-1.372892789942109,0.05349844964906506,0.05349844964906506
Ckk + Crr,-0.4999405393095513,0.05605494438224137,0.05605494438224137
Ckk - Crr,-1.1307104359165576,0.05605494438224137,0.05605494438224137
Cnn + Crr,-0.5412613117405374,0.05184948989136169,0.05184948989136169
Cnn - Crr,-1.1720312083475437,0.05184948989136169,0.05184948989136169
