name,value,uncertainty_up,uncertainty_down
B_An,0.00032138247702879954,0.026527166055348547,0.026527166055348547
B_Ar,0.003816793644680765,0.02395380101588822,0.02395380101588822
B_Ak,0.0024019777681447843,0.025299481859365286,0.025299481859365286
B_Bn,0.003576307419174163,0.026437469580258638,0.026437469580258638
B_Br,-0.0027349309064536934,0.02271050143851378,0.02271050143851378
B_Bk,-0.003021509053923344,0.024191882754339398,0.024191882754339398
C_nn,-0.5575672949795946,0.033437350495511886,0.033437350495511886
C_nr,-0.005250091234439069,0.03609322373689354,0.03609322373689354
C_nk,0.011450233438862418,0.039149027217751556,0.039149027217751556
C_rn,0.015306268365766424,0.03912136213477669,0.03912136213477669
C_rr,-0.3153849463161722,0.04155933323395444,0.04155933323395444
C_rk,-0.006581645238659373,0.03978080432233665,0.03978080432233665
C_kn,-0.009369679857659591,0.04298029246962279,0.0429802924696228
C_kr,0.012088293976126652,0.03989471557870802,0.03989471557870802
C_kk,-0.5988880556718394,0.04271752593071787,0.04271752593071787
Concurrence,0.32144986880370735,0.022286455100208335,0.023089910871299725
Ckk + Cnn,-0.25775821172166125,0.05424798088225278,0.05424798088225278
Ckk - Cnn,-1.3728928016808504,0.05424798088225278,0.05424798088225278
Ckk + Crr,-0.4999405603850835,0.059598365753537434,0.059598365753537434
Ckk - Crr,-1.130710453017428,0.059598365753537434,0.059598365753537434
Cnn + Crr,-0.5412613210773284,0.05334074040553411,0.05334074040553411
Cnn - Crr,-1.1720312137096727,0.05334074040553411,0.05334074040553411
