name,value,uncertainty_up,uncertainty_down
B_An,0.0003213825711069835,0.0074292993334710705,0.0074292993334710705
B_Ar,0.003816776792363392,0.007436001358455519,0.007436001358455519
B_Ak,0.0024019632507168,0.0070120902508959,0.0070120902508959
B_Bn,0.003576289246051843,0.007448968573172936,0.007448968573172935
B_Br,-0.002734866038419672,0.007308768247130713,0.007308768247130713
B_Bk,-0.003021544771220331,0.007205890031528745,0.007205890031528745
C_nn,-0.557567303201289,0.011372570155383621,0.011372570155383621
C_nr,-0.00525008606024696,0.011798676837853827,0.011798676837853826
C_nk,0.011450249481614907,0.011434359621188564,0.011434359621188564
C_rn,0.015306286006340295,0.01153350125871486,0.011533501258714862
C_rr,-0.3153849462686929,0.012268573893840895,0.012268573893840895
C_rk,-0.006581671139033896,0.012703612403871332,0.012703612403871332
C_kn,-0.009369670282868848,0.01157373723891829,0.01157373723891829
C_kr,0.012088292797960275,0.012326525650381365,0.012326525650381363
C_kk,-0.5988880805423501,0.012499699859918056,0.012499699859918056
Concurrence,0.3214498796652275,0.006908577688385668,0.006978253414470412
Ckk + Cnn,-0.25775817862945605,0.016899048746221123,0.016899048746221123
Ckk - Cnn,-1.372892785032034,0.016899048746221123,0.016899048746221123
Ckk + Crr,-0.4999405355620521,0.01751457684263796,0.01751457684263796
Ckk - Crr,-1.130710428099438,0.01751457684263796,0.01751457684263796
Cnn + Crr,-0.5412613129031132,0.016728815180034617,0.016728815180034617
Cnn - Crr,-1.172031205440499,0.016728815180034617,0.016728815180034617
