name,value,uncertainty_up,uncertainty_down
B_An,0.00032137284716412065,0.025576774992994787,0.025576774992994787
B_Ar,0.0038167743737481134,0.0210975678136036,0.0210975678136036
B_Ak,0.0024019752328391145,0.023231067054753494,0.023231067054753494
B_Bn,0.0035763071030245584,0.025668456942167864,0.025668456942167864
B_Br,-0.0027348935926829374,0.01979453522012099,0.01979453522012099
B_Bk,-0.003021519133874482,0.02428692311606164,0.02428692311606164
C_nn,-0.5575673187283408,0.03413584672471481,0.03413584672471481
C_nr,-0.005250080288987118,0.035375618311398335,0.035375618311398335
C_nk,0.011450233617159314,0.03549714691782438,0.03549714691782438
C_rn,0.015306264229827896,0.0381076732816376,0.03810767328163759
C_rr,-0.31538494701243286,0.039220696072847505,0.039220696072847505
C_rk,-0.006581646175861924,0.03621697354320216,0.03621697354320216
C_kn,-0.00936968923345034,0.03237129265850723,0.03237129265850723
C_kr,0.012088289067756393,0.03421752534939647,0.03421752534939647
C_kk,-0.5988880453961878,0.035018774268481656,0.035018774268481656
Concurrence,0.3214498739978412,0.020575282349978824,0.02106045314557632
Ckk + Cnn,-0.2577581982485666,0.04890368680253152,0.04890368680253152
Ckk - Cnn,-1.3728928357052481,0.04890368680253152,0.04890368680253152
Ckk + Crr,-0.49994056996447456,0.052579250201058865,0.052579250201058865
Ckk - Crr,-1.1307104639893402,0.052579250201058865,0.052579250201058865
Cnn + Crr,-0.5412612966323216,0.05199537510252137,0.05199537510252137
Cnn - Crr,-1.1720311906571872,0.05199537510252137,0.05199537510252137
