name,value,uncertainty_up,uncertainty_down
B_An,0.0003213342062487981,0.026282694198314298,0.026282694198314298
B_Ar,0.00381681954496224,0.021343524394141125,0.021343524394141125
B_Ak,0.0024019777232183012,0.022832917810861945,0.022832917810861945
B_Bn,0.0035762947028462637,0.02687346646029551,0.02687346646029551
B_Br,-0.002734882146711956,0.020376614043019003,0.020376614043019003
B_Bk,-0.003021540831291922,0.0242029707211461,0.0242029707211461
C_nn,-0.5575673099316757,0.03560829864782611,0.03560829864782611
C_nr,-0.005250106419968462,0.04108863772910889,0.04108863772910889
C_nk,0.011450247234454015,0.0378221156631879,0.0378221156631879
C_rn,0.015306268418623094,0.038326734059868355,0.038326734059868355
C_rr,-0.31538493894689873,0.03991187231193166,0.03991187231193166
C_rk,-0.006581672618736694,0.03916976801358339,0.03916976801358339
C_kn,-0.009369689883972082,0.036425845127146986,0.036425845127146986
C_kr,0.012088289152360238,0.038167919025224366,0.038167919025224366
C_kk,-0.5988880465178419,0.04004938470749875,0.04004938470749875
Concurrence,0.32144986753881766,0.02184789161798536,0.02252960236013925
Ckk + Cnn,-0.25775820592357745,0.05359014972960991,0.05359014972960991
Ckk - Cnn,-1.3728928257869288,0.05359014972960991,0.05359014972960991
Ckk + Crr,-0.4999405769083545,0.05654123068074458,0.05654123068074458
Ckk - Crr,-1.130710454802152,0.05654123068074458,0.05654123068074458
Cnn + Crr,-0.5412613134945208,0.05348746099822567,0.05348746099822567
Cnn - Crr,-1.1720311913883181,0.05348746099822567,0.05348746099822567
