name,value,uncertainty_up,uncertainty_down
B_An,0.00032135481393168674,0.024390383559561205,0.024390383559561205
B_Ar,0.003816793913284398,0.02122617868266498,0.02122617868266498
B_Ak,0.0024019713374142486,0.024221816205382322,0.024221816205382322
B_Bn,0.0035762775420695204,0.02989770534493291,0.029897705344932912
B_Br,-0.002734871175566878,0.019575246875427766,0.019575246875427766
B_Bk,-0.0030215325678611266,0.02557976351962795,0.02557976351962795
C_nn,-0.5575672704877017,0.035193302719295994,0.035193302719295994
C_nr,-0.005250087347422539,0.03726671850818283,0.03726671850818285
C_nk,0.011450263294225885,0.03434685270224343,0.03434685270224343
C_rn,0.015306290254186103,0.03493586257851352,0.03493586257851352
C_rr,-0.31538495160292035,0.03962173704787608,0.03962173704787608
C_rk,-0.0065816703186589165,0.037840322683598285,0.037840322683598285
C_kn,-0.00936968029411626,0.03880356993252783,0.03880356993252783
C_kr,0.012088310456377685,0.03908822504340445,0.03908822504340445
C_kk,-0.5988880417356173,0.04262481901948567,0.04262481901948567
Concurrence,0.3214498585279222,0.022162431945899782,0.02291157507999639
Ckk + Cnn,-0.25775825014977616,0.05527606853545134,0.05527606853545134
Ckk - Cnn,-1.3728927911251796,0.05527606853545134,0.05527606853545134
Ckk + Crr,-0.4999405690345575,0.05819585245646758,0.05819585245646758
Ckk - Crr,-1.1307104722403982,0.05819585245646758,0.05819585245646758
Cnn + Crr,-0.5412613402824731,0.05299481675582097,0.05299481675582097
Cnn - Crr,-1.1720312434883138,0.05299481675582097,0.05299481675582097
