name,value,uncertainty_up,uncertainty_down
B_An,0.00032137668841291246,0.025776948492963334,0.025776948492963334
B_Ar,0.0038168277761196825,0.02037190417444875,0.02037190417444875
B_Ak,0.002401954902077674,0.025118842767089394,0.025118842767089394
B_Bn,0.003576260871485569,0.029687609017121468,0.029687609017121464
B_Br,-0.0027348541410683034,0.018901882662095384,0.018901882662095384
B_Bk,-0.0030215444012126795,0.02507363624841452,0.02507363624841452
C_nn,-0.5575673401969606,0.03435721740718567,0.03435721740718567
C_nr,-0.005250125165929723,0.03801945075824216,0.03801945075824216
C_nk,0.011450215441305337,0.03563565075169782,0.03563565075169782
C_rn,0.015306265453987847,0.035475170410889365,0.035475170410889365
C_rr,-0.3153849351435654,0.03826049540309212,0.03826049540309212
C_rk,-0.0065816657961227775,0.03655076064107628,0.03655076064107628
C_kn,-0.009369680020432841,0.038770161049166,0.038770161049166
C_kr,0.012088291761709863,0.03874793169600139,0.03874793169600139
C_kk,-0.598888050450677,0.038897661091163105,0.038897661091163105
Concurrence,0.32144987758832116,0.021093114217677258,0.021758846815453814
Ckk + Cnn,-0.25775817172545756,0.05189842412181324,0.05189842412181324
Ckk - Cnn,-1.3728928521193788,0.05189842412181324,0.05189842412181324
Ckk + Crr,-0.49994057677885273,0.05456091592754852,0.05456091592754852
Ckk - Crr,-1.1307104470659837,0.05456091592754852,0.05456091592754852
Cnn + Crr,-0.541261287032569,0.051422601027706245,0.051422601027706245
Cnn - Crr,-1.1720311573197,0.051422601027706245,0.051422601027706245
