name,value,uncertainty_up,uncertainty_down
B_An,0.00032137615757367796,0.007888462442685347,0.007888462442685347
B_Ar,0.003816780364348598,0.007535420173363943,0.007535420173363942
B_Ak,0.0024019654385881405,0.007199193871378429,0.007199193871378429
B_Bn,0.0035762881321732424,0.007683967792036224,0.007683967792036224
B_Br,-0.002734863701435401,0.00747243565001318,0.007472435650013181
B_Bk,-0.003021542421826902,0.007335717120975384,0.0073357171209753845
C_nn,-0.5575673064433884,0.011727583263626773,0.011727583263626773
C_nr,-0.0052500872384411415,0.012335174043331851,0.01233517404333185
C_nk,0.01145025062995877,0.011866730730085226,0.011866730730085226
C_rn,0.015306287631891985,0.011814780539849662,0.01181478053984966
C_rr,-0.31538495308046977,0.012596046496961555,0.012596046496961555
C_rk,-0.006581673003253401,0.012987708740498321,0.012987708740498323
C_kn,-0.009369675297760395,0.012265431266002247,0.012265431266002247
C_kr,0.01208828907792344,0.012937173595471783,0.012937173595471783
C_kk,-0.598888075536461,0.01262972739278756,0.01262972739278756
Concurrence,0.32144988225178855,0.007062403435374685,0.007138447102181154
Ckk + Cnn,-0.25775818039324583,0.017235028959111942,0.017235028959111942
Ckk - Cnn,-1.3728927932800226,0.017235028959111942,0.017235028959111942
Ckk + Crr,-0.49994053375616443,0.01783733167740472,0.01783733167740472
Ckk - Crr,-1.130710439917104,0.01783733167740472,0.01783733167740472
Cnn + Crr,-0.541261302849237,0.01721036305715008,0.01721036305715008
Cnn - Crr,-1.1720312090101765,0.01721036305715008,0.01721036305715008
