name,value,uncertainty_up,uncertainty_down
B_An,0.0003213617038901989,0.026503786321109318,0.026503786321109318
B_Ar,0.00381682788215427,0.022138469967866004,0.022138469967865997
B_Ak,0.0024019555829836773,0.02213846018468999,0.02213846018468999
B_Bn,0.003576290120542368,0.027099141076301916,0.027099141076301916
B_Br,-0.0027349147364592458,0.020953202499491667,0.020953202499491667
B_Bk,-0.0030215329970108822,0.02522988164630638,0.02522988164630638
C_nn,-0.5575673478489573,0.04141129435039681,0.04141129435039681
C_nr,-0.005250078341670039,0.0357591189005626,0.0357591189005626
C_nk,0.011450235833560498,0.03854480779254994,0.03854480779254994
C_rn,0.01530626915991391,0.04091284403262627,0.040912844032626274
C_rr,-0.31538494713615595,0.036309237646676484,0.036309237646676484
C_rk,-0.006581660834641346,0.03560711923352342,0.03560711923352342
C_kn,-0.009369674555297794,0.037552274608620796,0.037552274608620796
C_kr,0.012088289853839819,0.035719235208448157,0.035719235208448157
C_kk,-0.5988880433649639,0.03783610110796798,0.03783610110796798
Concurrence,0.32144988332159014,0.02188238352925198,0.022353564146652398
Ckk + Cnn,-0.2577581711591739,0.0560933672266836,0.0560933672266836
Ckk - Cnn,-1.3728928668570886,0.0560933672266836,0.0560933672266836
Ckk + Crr,-0.49994057187197527,0.052439787237699625,0.052439787237699625
Ckk - Crr,-1.1307104661442873,0.052439787237699625,0.052439787237699625
Cnn + Crr,-0.5412612673879819,0.05507500375177505,0.05507500375177505
Cnn - Crr,-1.1720311616602936,0.05507500375177505,0.05507500375177505
