name,value,uncertainty_up,uncertainty_down
B_An,0.0003213795274400591,0.026992728539035622,0.026992728539035622
B_Ar,0.0038168105687771403,0.02039790343081143,0.02039790343081143
B_Ak,0.0024019640805378025,0.023937859131806113,0.023937859131806113
B_Bn,0.003576295409078808,0.027597421620268917,0.027597421620268917
B_Br,-0.0027348881949617876,0.017791634817157297,0.017791634817157297
B_Bk,-0.003021526536836903,0.024986513340005713,0.024986513340005713
C_nn,-0.5575673057430315,0.03419960420059687,0.03419960420059687
C_nr,-0.005250093171320649,0.03637163409963621,0.03637163409963621
C_nk,0.011450249878824169,0.0363722463718421,0.0363722463718421
C_rn,0.015306262111925727,0.03478318374147334,0.03478318374147334
C_rr,-0.3153849606706586,0.034764356967185106,0.034764356967185106
C_rk,-0.006581661310499807,0.03656197705615138,0.03656197705615138
C_kn,-0.009369666348568558,0.036585091718210845,0.03658509171821084
C_kr,0.012088276405009486,0.03581271699514335,0.03581271699514335
C_kk,-0.5988880321455101,0.03440443188286524,0.03440443188286524
Concurrence,0.3214498715660736,0.019587272308353023,0.0201227723423821
Ckk + Cnn,-0.25775822448455354,0.04851059534431831,0.04851059534431831
Ckk - Cnn,-1.3728928359706165,0.04851059534431831,0.04851059534431831
Ckk + Crr,-0.49994056955692645,0.04891038180718472,0.04891038180718472
Ckk - Crr,-1.1307104908982435,0.04891038180718472,0.04891038180718472
Cnn + Crr,-0.5412612959594051,0.04876651969147844,0.04876651969147844
Cnn - Crr,-1.1720312173007223,0.04876651969147844,0.04876651969147844
